"Kernel Name","gemm_bi_nn_fixed_rna_wide_tf32_v1_m128n128_bk32_s3",
"Address","Source","Instructions Executed","Predicated-On Thread Instructions Executed"
"0x7ea99f2e0e40","      ISETP.GE.OR P3, PT, R10, c[0x0][0x190], P1","0","0"
"0x7ea99f2e0e50","      ISETP.GE.OR P2, PT, R10, c[0x0][0x190], P2","0","0"
"0x7ea99f2e0e60","      ISETP.GE.OR P1, PT, R8, c[0x0][0x190], P1","0","0"
"0x7ea99f2e0e70","      CS2R R42, SRZ","0","0"
"0x7ea99f2e0e80","      CS2R R36, SRZ","0","0"
"0x7ea99f2e0e90","      CS2R R38, SRZ","0","0"
"0x7ea99f2e0ea0","@!P5  LDG.E R43, [R2.64+0x44]","0","0"
"0x7ea99f2e0eb0","@!P4  LDG.E R42, [R2.64+0x40]","0","0"
"0x7ea99f2e0ec0","@!P6  LDG.E R36, [R2.64+0x60]","0","0"
"0x7ea99f2e0ed0","@!P2  LDG.E R37, [R2.64+0x64]","0","0"
"0x7ea99f2e0ee0","@!P3  LDG.E R39, [R2.64+0x64]","0","0"
"0x7ea99f2e0ef0","@!P1  LDG.E R38, [R2.64+0x60]","0","0"
"0x7ea99f2e0f00","@!P0  BRA 0x7ea99f2e1240","768","24576"
"0x7ea99f2e0f10","      IADD3 R8, R114, 0x20, RZ","0","0"
"0x7ea99f2e0f20","      CS2R R32, SRZ","0","0"
"0x7ea99f2e0f30","      IADD3 R9, R140, 0x1, RZ","0","0"
"0x7ea99f2e0f40","      CS2R R34, SRZ","0","0"
"0x7ea99f2e0f50","      ISETP.GE.AND P2, PT, R8, c[0x0][0x188], PT","0","0"
"0x7ea99f2e0f60","      IADD3 R8, R114, 0x28, RZ","0","0"
"0x7ea99f2e0f70","      ISETP.GE.OR P6, PT, R140, c[0x0][0x190], P2","0","0"
"0x7ea99f2e0f80","      ISETP.GE.OR P3, PT, R9, c[0x0][0x190], P2","0","0"
"0x7ea99f2e0f90","      ISETP.GE.AND P1, PT, R8, c[0x0][0x188], PT","0","0"
"0x7ea99f2e0fa0","      IADD3 R8, R140, 0x8, RZ","0","0"
"0x7ea99f2e0fb0","      ISETP.GE.OR P4, PT, R9, c[0x0][0x190], P1","0","0"
"0x7ea99f2e0fc0","      ISETP.GE.OR P5, PT, R140, c[0x0][0x190], P1","0","0"
"0x7ea99f2e0fd0","      IADD3 R9, R140, 0x9, RZ","0","0"
"0x7ea99f2e0fe0","@!P6  LDG.E R32, [R2.64]","0","0"
"0x7ea99f2e0ff0","      ISETP.GE.OR P6, PT, R8, c[0x0][0x190], P2","0","0"
"0x7ea99f2e1000","@!P3  LDG.E R33, [R2.64+0x4]","0","0"
"0x7ea99f2e1010","      ISETP.GE.OR P3, PT, R9, c[0x0][0x190], P2","0","0"
"0x7ea99f2e1020","      CS2R R92, SRZ","0","0"
"0x7ea99f2e1030","@!P4  LDG.E R35, [R2.64+0x4]","0","0"
"0x7ea99f2e1040","      ISETP.GE.OR P4, PT, R9, c[0x0][0x190], P1","0","0"
"0x7ea99f2e1050","@!P5  LDG.E R34, [R2.64]","0","0"
"0x7ea99f2e1060","      ISETP.GE.OR P5, PT, R8, c[0x0][0x190], P1","0","0"
"0x7ea99f2e1070","      CS2R R94, SRZ","0","0"
"0x7ea99f2e1080","      IADD3 R8, R140, 0x10, RZ","0","0"
"0x7ea99f2e1090","@!P6  LDG.E R92, [R2.64+0x20]","0","0"
"0x7ea99f2e10a0","      IADD3 R9, R140, 0x11, RZ","0","0"
"0x7ea99f2e10b0","      ISETP.GE.OR P6, PT, R8, c[0x0][0x190], P2","0","0"
"0x7ea99f2e10c0","@!P3  LDG.E R93, [R2.64+0x24]","0","0"
"0x7ea99f2e10d0","      ISETP.GE.OR P3, PT, R9, c[0x0][0x190], P2","0","0"
"0x7ea99f2e10e0","      CS2R R96, SRZ","0","0"
"0x7ea99f2e10f0","@!P4  LDG.E R95, [R2.64+0x24]","0","0"
"0x7ea99f2e1100","      ISETP.GE.OR P4, PT, R8, c[0x0][0x190], P1","0","0"
"0x7ea99f2e1110","      IADD3 R8, R140, 0x18, RZ","0","0"
"0x7ea99f2e1120","@!P5  LDG.E R94, [R2.64+0x20]","0","0"
"0x7ea99f2e1130","      IADD3 R10, R140, 0x19, RZ","0","0"
"0x7ea99f2e1140","      ISETP.GE.OR P5, PT, R9, c[0x0][0x190], P1","0","0"
"0x7ea99f2e1150","@!P6  LDG.E R96, [R2.64+0x40]","0","0"
"0x7ea99f2e1160","      ISETP.GE.OR P6, PT, R8, c[0x0][0x190], P2","0","0"
"0x7ea99f2e1170","@!P3  LDG.E R97, [R2.64+0x44]","0","0"
"0x7ea99f2e1180","      ISETP.GE.OR P3, PT, R10, c[0x0][0x190], P1","0","0"
"0x7ea99f2e1190","      ISETP.GE.OR P2, PT, R10, c[0x0][0x190], P2","0","0"
"0x7ea99f2e11a0","      ISETP.GE.OR P1, PT, R8, c[0x0][0x190], P1","0","0"
"0x7ea99f2e11b0","      CS2R R98, SRZ","0","0"
"0x7ea99f2e11c0","      CS2R R20, SRZ","0","0"
"0x7ea99f2e11d0","      CS2R R22, SRZ","0","0"
"0x7ea99f2e11e0","@!P5  LDG.E R99, [R2.64+0x44]","0","0"
"0x7ea99f2e11f0","@!P4  LDG.E R98, [R2.64+0x40]","0","0"
"0x7ea99f2e1200","@!P6  LDG.E R20, [R2.64+0x60]","0","0"
"0x7ea99f2e1210","@!P2  LDG.E R21, [R2.64+0x64]","0","0"
"0x7ea99f2e1220","@!P3  LDG.E R23, [R2.64+0x64]","0","0"
"0x7ea99f2e1230","@!P1  LDG.E R22, [R2.64+0x60]","0","0"
"0x7ea99f2e1240","@!P0  BRA 0x7ea99f2e1580","768","24576"
"0x7ea99f2e1250","      IADD3 R8, R114, 0x30, RZ","0","0"
"0x7ea99f2e1260","      CS2R R72, SRZ","0","0"
"0x7ea99f2e1270","      IADD3 R9, R140, 0x1, RZ","0","0"
"0x7ea99f2e1280","      ISETP.GE.AND P1, PT, R8, c[0x0][0x188], PT","0","0"
"0x7ea99f2e1290","      IADD3 R8, R114, 0x38, RZ","0","0"
"0x7ea99f2e12a0","      ISETP.GE.OR P5, PT, R140, c[0x0][0x190], P1","0","0"
"0x7ea99f2e12b0","      ISETP.GE.AND P0, PT, R8, c[0x0][0x188], PT","0","0"
"0x7ea99f2e12c0","      ISETP.GE.OR P3, PT, R9, c[0x0][0x190], P1","0","0"
"0x7ea99f2e12d0","      ISETP.GE.OR P4, PT, R9, c[0x0][0x190], P0","0","0"
"0x7ea99f2e12e0","      ISETP.GE.OR P6, PT, R140, c[0x0][0x190], P0","0","0"
"0x7ea99f2e12f0","      IADD3 R8, R140, 0x8, RZ","0","0"
"0x7ea99f2e1300","      CS2R R74, SRZ","0","0"
"0x7ea99f2e1310","@!P5  LDG.E R72, [R2.64]","0","0"
"0x7ea99f2e1320","      ISETP.GE.OR P2, PT, R8, c[0x0][0x190], P1","0","0"
"0x7ea99f2e1330","      ISETP.GE.OR P5, PT, R8, c[0x0][0x190], P0","0","0"
"0x7ea99f2e1340","@!P3  LDG.E R73, [R2.64+0x4]","0","0"
"0x7ea99f2e1350","      IADD3 R8, R140, 0x9, RZ","0","0"
"0x7ea99f2e1360","      IADD3 R9, R140, 0x10, RZ","0","0"
"0x7ea99f2e1370","@!P4  LDG.E R75, [R2.64+0x4]","0","0"
"0x7ea99f2e1380","      ISETP.GE.OR P3, PT, R8, c[0x0][0x190], P1","0","0"
"0x7ea99f2e1390","      ISETP.GE.OR P4, PT, R8, c[0x0][0x190], P0","0","0"
"0x7ea99f2e13a0","@!P6  LDG.E R74, [R2.64]","0","0"
"0x7ea99f2e13b0","      ISETP.GE.OR P6, PT, R9, c[0x0][0x190], P1","0","0"
"0x7ea99f2e13c0","      CS2R R76, SRZ","0","0"
"0x7ea99f2e13d0","      CS2R R78, SRZ","0","0"
"0x7ea99f2e13e0","      IADD3 R8, R140, 0x11, RZ","0","0"
"0x7ea99f2e13f0","      CS2R R80, SRZ","0","0"
"0x7ea99f2e1400","@!P2  LDG.E R76, [R2.64+0x20]","0","0"
"0x7ea99f2e1410","      ISETP.GE.OR P2, PT, R9, c[0x0][0x190], P0","0","0"
"0x7ea99f2e1420","      IADD3 R9, R140, 0x18, RZ","0","0"
"0x7ea99f2e1430","@!P3  LDG.E R77, [R2.64+0x24]","0","0"
"0x7ea99f2e1440","      ISETP.GE.OR P3, PT, R8, c[0x0][0x190], P1","0","0"
"0x7ea99f2e1450","@!P4  LDG.E R79, [R2.64+0x24]","0","0"
"0x7ea99f2e1460","      ISETP.GE.OR P4, PT, R8, c[0x0][0x190], P0","0","0"
"0x7ea99f2e1470","      IADD3 R8, R140, 0x19, RZ","0","0"
"0x7ea99f2e1480","@!P5  LDG.E R78, [R2.64+0x20]","0","0"
"0x7ea99f2e1490","      ISETP.GE.OR P5, PT, R9, c[0x0][0x190], P1","0","0"
"0x7ea99f2e14a0","@!P6  LDG.E R80, [R2.64+0x40]","0","0"
"0x7ea99f2e14b0","      ISETP.GE.OR P6, PT, R9, c[0x0][0x190], P0","0","0"
"0x7ea99f2e14c0","      ISETP.GE.OR P1, PT, R8, c[0x0][0x190], P1","0","0"
"0x7ea99f2e14d0","      CS2R R82, SRZ","0","0"
"0x7ea99f2e14e0","      ISETP.GE.OR P0, PT, R8, c[0x0][0x190], P0","0","0"
"0x7ea99f2e14f0","      CS2R R84, SRZ","0","0"
"0x7ea99f2e1500","      CS2R R86, SRZ","0","0"
"0x7ea99f2e1510","@!P3  LDG.E R81, [R2.64+0x44]","0","0"
